Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
2656,Good but what about person died both should be compensated at lease 1 crore,3,llama3:70b,Victim Sympathy,"""They should at least be compensated with 1 crore each."""
109,"I know how rash driving happenes in KP,viman nagar,kalyani nagar where this accident happened... This will continue... These guys don't listen to anyone",6,llama3:70b,Views on Similar Cases in the Past,"""I know how rash driving occurs in KP, Viman Nagar, and Kalyani Nagar, where this accident took place... This will continue... Those people don't pay attention to anyone."""
1646,Nobody can share her pain :loudly_crying_face:,3,llama3:70b,Victim Sympathy,"""No one can even begin to imagine the depth of her suffering :loudly_crying_face:"""
3009,It's a shame that helmets are still not mandatory in Pune,1,llama3:70b,Public Safety,"""It's a shame that helmets are still not compulsory in Pune :expressionless face"""
677,"Problem of Traffic Rule:-
This is my personal story, I was Going to market in my bike so I stop my bike for red light, but my bike back one car driver pushed me and tell 'hai break red light and going side I have not time for waiting red light' so this reason many person not follow rule but any person follow so thay try to bully...",1,llama3:70b,Public Safety,"""Problem of Traffic Rules:-

This is my personal experience, I was riding my bike to the market and stopped at the red light, but the driver behind me pushed my bike and said 'you're breaking the red light and taking up my time, I don't have time to wait for the light'. This is the reason why many people don't follow the rules, but if someone does follow them, they try to bully you..."""
2058,The young and his gf newly in job erred to venture out at 2am .at dead of night all vehicles  specifically  heavy goods one run hay wire.,5,llama3:70b,Irrelevant/General Comments,"""The young couple, who are newly employed, made the foolish decision to venture out at 2am. At that dead of night, all vehicles, especially heavy goods ones, are running wildly."""
1322,Javan ke lie boliye:crying_face:,5,llama3:70b,Irrelevant/General Comments,"""We're crying for the country."""
2726,"Please make more videos on Prajwal Revanna matter , it needs immediate attention of the Nation !",6,llama3:70b,Views on Similar Cases in the Past,"We need more videos on the Prajwal Revanna issue, it's a matter of national importance that requires urgent attention."
177,"The father has money so you know he gonna be free very soon, probably not even get a charge for nothing, thats the way of the world",2,llama3:70b,Socioeconomic Privilege,"""He's a rich man's son, so you can bet your life he'll be out of jail in no time, and probably won't even face any charges, that's just how the system works."""
935,Sir please west bengal doctor ka rape and murder case ke bare me bhi video kijiye. Sab bhul gaye hai.,6,llama3:70b,Views on Similar Cases in the Past,"""Sir, please also make a video about the rape and murder case of the doctor from West Bengal. Everyone has forgotten about it."""
1423,Abhi tak to dikh rhi hai gov and police seriously le rhi hope justice milega unhe।,3,llama3:70b,Victim Sympathy,"""They are taking the government and police very seriously so far, hopefully, they will get justice."""
829,This police commissioner is corrupt too ..he is just saving culprits policemens,0,llama3:70b,Judicial Accountability and Policy Demands,"""This police commissioner is also corrupt, he's just protecting the guilty cops."""
1921,"Highest of irresponsibly,  unpardonable.",4,llama3:70b,Anger or Outrage,"""This is the highest level of irresponsibility, unpardonable."""
463,"In india justice is totally different for rich and poor, political and non polical people................ Harsh reality:crying_face::crying_face::crying_face::crying_face:",2,llama3:70b,Socioeconomic Privilege,"""In India, justice is totally different for the rich and the poor, for politicians and ordinary people. Harsh reality: :crying_face::crying_face::crying_face::crying_face:"""
799,O balle jatta:red_heart::fire::raising_hands_light_skin_tone:,4,llama3:70b,Anger or Outrage,"""Oh, what a victory!"""
2264,"Builder- Bramha Realty & Infrastructure
This builder son killed these 2 young lives",4,llama3:70b,Anger or Outrage,"""Two young lives were brutally murdered by the son of Bramha Realty & Infrastructure, a notorious builder."""
2226,I am punekar. In last few years traffic police has been absent from the streets of Pune. Most people don’t follow traffic rules.,1,llama3:70b,Public Safety,"""I'm a Punekar. In the past few years, traffic police have been noticeably absent from the streets of Pune. Most people don't follow traffic rules."""
246,Life is becoming cheaper despite of income its not rich and poor but yes due to improper management of laws and rules and even discipline these events happens in India....,1,llama3:70b,Public Safety,"""Life is becoming cheaper, despite the fact that people's incomes are not increasing. It's not just a matter of the rich and the poor, but rather due to the poor management of laws, rules, and discipline, which is a common issue in India."""
2885,I think all of them already got bail and they are even asking for passports? Is it true?,2,llama3:70b,Socioeconomic Privilege,They've all already got bail and are now asking for passports?
2128,Guys... Imagine your father in the place of victim... How much your family will suffer because of a rich brat :pensive_face:.,1,llama3:70b,Public Safety,"""Imagine your father was the victim, can you think of how much your family would have to endure because of a spoiled rich kid."""
2274,RIP Anish. No one can replace the youngster for his family.,3,llama3:70b,Victim Sympathy,RIP Anish. No one can replace the young man for his family.
287,1:58 - Beta umar se pehly bara hogya :expressionless_face::expressionless_face:,4,llama3:70b,Anger or Outrage,"""He was a big man even at 1:58."""
2617,"I think the criteria for minors should be reduced from 18 to 15 years and treated accordingly since they already knew everything due to ""SOCIAL MEDIA""",0,llama3:70b,Judicial Accountability and Policy Demands,"""I think the criteria for minors should be reduced from 18 to 15 years and treated accordingly since they already know everything due to social media."""
2816,Police must open an enquiry about illegal super road racing also,0,llama3:70b,Judicial Accountability and Policy Demands,The police must launch an investigation into the illegal super road racing.
712,Really tight slap on indian judiciary system,0,llama3:70b,Judicial Accountability and Policy Demands,A crushing blow to the Indian judiciary system.
2636,"I hope that they get fair judgement soon  
And there family members get some relief",3,llama3:70b,Victim Sympathy,"""I hope they receive a fair verdict soon. And their family members get some respite."""
1092,"i am really crying, fearing and sad to see the judgement and where our system is heading to... From past 3-4 year i can see and feel that the judgement from our court are really not good at all. not sure i feel that direct recruitment of  PCSJ is the problem. As earlier, one has to under go as lawyer  and gain experiance as lawyer before he become Judge. I feel todays hearing , investigation and judgement of judge is not effective.",1,llama3:70b,Public Safety,"""I'm extremely distressed, terrified, and heartbroken to see the recent judgment and the direction our system is taking... Over the past 3-4 years, I've noticed and felt that the court's judgments have been thoroughly disappointing. I'm unsure, but I think the direct recruitment of PCSJs is the root of the problem. In the past, one had to work as a lawyer, gain experience as a lawyer, and then become a judge. Today, I feel that judges' hearings, investigations, and judgments are ineffective."""
462,Privilege messes up people.,2,llama3:70b,Socioeconomic Privilege,"""Corruption ruins the country."""
559,No trust on justice.....it's a mockery of the system.....alleged should be punished,0,llama3:70b,Judicial Accountability and Policy Demands,"""We have no faith in the justice system; it's a complete mockery. Those who are accused of crimes should be held accountable."""
1337,I hope they get justice,3,llama3:70b,Victim Sympathy,I hope they get justice.
1243,Law is made for poor only.,2,llama3:70b,Socioeconomic Privilege,"""Law is only made to favor the poor."""
2719,This case is just like Jolly LLB movie plot. But in reality we don't have lawyers like Jolly to tackle this type of case.,5,llama3:70b,Irrelevant/General Comments,"""This case is just like the Jolly LLB movie plot, but in reality, we don't have lawyers like Jolly to handle cases like this."""
